factor_1,factor_2,factor_3,factor_4,factor_5,label
0.18866666666666668,0.22240000000000001,0.061,0.053000000000000005,0.10733333333333332,I need to take a break
0.16066666666666668,0.21600000000000003,0.0505,0.086,0.10200000000000001,I need to take a break
0.166,0.17600000000000002,0.0685,0.066,0.15533333333333335,I need to take a break
0.14666666666666667,0.13720000000000002,0.058499999999999996,0.10400000000000001,0.12733333333333335,I need to take a break
0.12399999999999999,0.14679999999999999,0.05450000000000001,0.08199999999999999,0.10533333333333333,I need to take a break
0.14,0.1728,0.0505,0.025,0.06266666666666666,I need to take a break
0.17600000000000002,0.1296,0.064,0.06,0.05466666666666667,I need to take a break
0.15533333333333335,0.1268,0.064,0.045,0.044000000000000004,I need to take a break
0.148,0.14279999999999998,0.0845,0.034,0.046,I need to take a break
0.12000000000000001,0.1844,0.06999999999999999,0.031,0.026000000000000002,I need to take a break
0.08933333333333333,0.18840000000000004,0.0635,0.031000000000000007,0.032,I need to take a break
0.1,0.214,0.062,0.059,0.026000000000000002,I need to take a break
0.17066666666666663,0.1932,0.0635,0.05,0.012666666666666666,I need to take a break
0.19266666666666668,0.12,0.049,0.08299999999999999,0.026000000000000002,I need to take a break
0.15466666666666665,0.1328,0.0385,0.051000000000000004,0.037333333333333336,I need to take a break
0.15466666666666665,0.11040000000000001,0.07649999999999998,0.008,0.04466666666666666,I need to take a break
0.15399999999999997,0.0684,0.0685,0.020999999999999998,0.06866666666666667,I need to take a break
0.092,0.0752,0.077,0.033,0.04133333333333333,I need to take a break
0.13133333333333333,0.1356,0.0635,0.032,0.019333333333333334,I need to take a break
0.096,0.12639999999999998,0.1345,0.046,0.03333333333333333,I need to take a break
0.04066666666666666,0.1796,0.10699999999999998,0.10600000000000001,0.06066666666666666,I need to take a break
0.07466666666666667,0.19519999999999998,0.08449999999999999,0.11599999999999999,0.07600000000000001,I need to take a break
0.03266666666666666,0.11399999999999999,0.0875,0.118,0.10400000000000001,I need to take a break
0.07400000000000001,0.15,0.11499999999999999,0.11099999999999999,0.10666666666666667,I need to take a break
0.14733333333333334,0.14120000000000002,0.1165,0.071,0.04733333333333334,I need to take a break
0.09933333333333333,0.1568,0.082,0.086,0.066,I need to take a break
0.08466666666666667,0.1548,0.078,0.08399999999999999,0.015333333333333334,I need to take a break
0.029333333333333333,0.174,0.0745,0.091,0.03333333333333333,I need to take a break
0.07066666666666667,0.1696,0.083,0.11000000000000001,0.017333333333333333,I need to take a break
0.15666666666666665,0.14920000000000003,0.10149999999999999,0.09,0.036000000000000004,I need to take a break
0.11933333333333333,0.18280000000000002,0.061,0.10700000000000001,0.06333333333333332,I need to take a break
